LogicApp,Workflow,TotalRuns,AvgRunsPer5Min,P95RunsPer5Min,PeakRunsPer5Min,AvgSec,P50Sec,P95Sec,P99Sec,MinSec,MaxSec
"logic-cdpconsentsys-prod-eu2-01","wf-pnuscustIdentitycdp",529314,"68.22",168,620,"1.35","1.14","1.81","3.85","0.47","614.09"
"logic-sfscconsentsys-prod-eu2-01","wf-pnuscustidentitysfsc",320227,"45.47",116,416,"3.5","1.37","13.77","21.15","0.55","643.44"
"logic-sfmcconsentsys-prod-eu2-01","wf-pnuscustIdentityGDPsfmc",277374,"35.8",78,418,"2.66","1.14","9.88","16.87","0.51","551.06"
"logic-oktacissys-prod-eu2-01","wf-gdpoktacis-rcv",263018,"33.85",88,279,"4.86","4.34","8.12","14.6","1.5","457.17"
"logic-oktacissys-prod-eu2-01","wf-users-sync",199787,"25.72",69,280,"2.9","2.47",5,"9.4","0.49","474.38"
"logic-sfmcconsentsys-prod-eu2-01","wf-pnuscustidentitysfmc",188931,"33.64",77,406,"2.74","1.15","10.06","18.09","0.51","480.43"
"logic-oktacicsys-prod-eu2-01","wf-gdpoktacic-events",166212,"21.36",42,89,"1.36","0.7","3.87","9.77","0.17","119.65"
"logic-sfb-prod-eu2-02","wf-SendMessage-Salesforce",134743,"43.9",176,916,"2.63","1.81","5.3",11,"0.97","587.94"
"logic-gdpconsentsys-prod-eu2-01","wf-OneTrustHttpOauth",127944,"33.06",90,3883,"8.29","2.43","34.89","78.82","0.7","748.99"
"logic-sfmcconsentsys-prod-eu2-01","wf-SfmctHttpOauthReqResp",93573,"37.64",146,753,"2.9","1.91","6.33","12.8","0.77","235.91"
"logic-sfscconsentsys-prod-eu2-01","wf-SfsctHttpOauthReqResp",90000,"12.78",65,411,"3.55","1.17","3.92","9.66","0.58","763.85"
"logic-sfb-prod-eu2-01","wf-AIS2Salesforce-OrderHeader",85803,"36.94",156,762,"4.46","3.68","8.55","15.36","1.46","246.36"
"logic-thgsys-prod-eu2-01","wf-sendConsentTHG",76664,"10.99",25,628,"1.86","1.27","4.08","16.07","0.61","85.22"
"logic-iterablesys-prod-eu2-01","wf-kinshipUKToIterable",74704,"10.72",25,428,"1.49","1.02","3.77","6.58","0.37","245.55"
"logic-gdpconsentrcv-prod-eu2-01","wf-pnukcustIdentitysfsc",68996,"9.92",24,379,"3.54","1.47","12.56","20.81","0.63","280.57"
"logic-klaviyosnck1mmssys-prod-eu2-01","wf-publish-order-status",66391,"12.64",46,204,"4.69","2.04","4.51","14.91","0.54","3613.21"
"logic-oktacissys-prod-eu2-01","wf-groups-sync",57779,"8.02",20,102,"4.57","4.17","6.87","12.38","2.09","253.33"
"logic-cdpconsentsys-prod-eu2-01","wf-pnukcustIdentitycdp",55875,"8.65",20,381,"1.57","1.42","2.2","5.1","0.61","444.17"
"logic-sfb-prod-eu2-01","wf-AIS2Salesforce-InvoiceHeader",39674,"20.46",91,366,"3.25","2.63","4.98","13.1","0.86","382.84"
"logic-trextranssys-prod-eu2-01","wf-TradeResolutionFeedback-TrexUS",38605,"60.04",174,205,"1.48","1.15","2.94","5.74","0.6","479.22"
"logic-cgcloudtranssys-prod-eu2-01","wf-TradeResolutionFeedback-CGCloud",33149,"47.09",155,200,"2.2","1.45","5.84","11.71","0.76","263.27"
"logic-highradiussys-prod-eu2-01","wf-TradeResolutionFeedback-HighRadius",27347,"42.33",125,162,"1.18","0.98","1.86","4.11","0.49","243.01"
"logic-highradiussys-prod-eu2-01","wf-highradius-sftp-pathfinder-publisher",27085,"41.86",123,166,"1.13","0.87","1.85","6.88","0.44","70.48"
"logic-fabriqprmpssys-prod-eu2-01","wf-fabriq-DSTS",25473,"3.37",5,6,"10.21","9.34","14.74","28.67","5.57","396.96"
"logic-ziphqsys-prod-eu2-01","wf-vendor-master-data-sync",21108,"8.96",25,215,"2.52","2.36","3.83","11.12","0.62","477.61"
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-data-xtractor",20774,"7.3",12,18,"8.48","6.33","13.93","72.68","3.22","544.72"
"logic-sfmcconsentsys-prod-eu2-01","wf-GDPCRM-Subscriber",15735,"8.75",65,613,"2.28","1.71","4.44","7.76","0.45","194.3"
"logic-monprrdpsdsys-prod-eu2-01","wf-lab-res-mq-sbq",14350,"6.92",38,100,"3.1","2.77","4.66","9.62","1.44","56.03"
"logic-sfslsspasys-prod-eu2-01","wf-process-customermaster",14117,"8.98",51,270,"4.7","2.68","8.91","49.73","1.53","241.83"
"logic-trextranssys-prod-eu2-01","wf-ProductClassification-Receive",13729,"5.23",14,189,"1.38","1.04","2.35","8.02","0.47","240.87"
"logic-tdisnck1mmssys-prod-eu2-01","wf-tdi-shipping-label",11169,"9.34",20,30,"1.75","1.4","3.81","7.86","0.25","47.4"
"logic-carriershippingexp-prod-eu2-01","wf-shipping-label",11164,"9.37",20,31,"2.42","1.95","4.88","11.04","0.97","48.1"
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-data-eu9",10697,"4.19",6,8,"9.56","7.6",15,"53.43","4.77","283.68"
"logic-oktacissys-prod-eu2-01","wf-multi-groups-sync",10284,"2.26",5,14,"4.09","3.6","6.51","13.02","0.71","116.6"
"logic-marchexsys-prod-eu2-01","wf-SendRequest-MDH",8066,"2.31",5,11,"1.15","0.89","1.7","4.89","0.46","143.64"
"logic-plexsnck1mmssys-prod-eu2-01","wf-create-job",7860,"3.19",10,86,"3.22","2.65","5.87","13.11","1.44","132.68"
"logic-sfscconsentsys-prod-eu2-01","wf-pnmxcustidentitysfsc",7787,"34.61",82,145,10,"5.5","8.62","358.77","2.33","660.38"
"logic-highradiussys-prod-eu2-01","wf-highradius-sftp-Receiver",7475,1,1,1,"7.9","6.4","20.86","43.16","0.54","251.82"
"logic-plexsnck1mmssys-prod-eu2-01","wf-schedule-job",7132,"2.87",9,73,"9.59","9.14","15.93","25.03","1.24","211.91"
"logic-plexsnck1mmssys-prod-eu2-01","wf-debatch-Order",6932,"2.81",11,75,"7.1","5.96","11.04","27.27","2.92","110.46"
"logic-1nvpetcpollprc-prod-eu2-01","wf-solace-data-ingestor",6627,"3.02",7,13,"1.54","1.06","3.24","8.13","0.48","238.98"
"logic-sfmcconsentsys-prod-eu2-01","wf-GetToken-CRM",6010,"27.19",84,629,"1.56","1.19","2.91","7.49","0.52","39.19"
"logic-klaviyosnck1mmssys-prod-eu2-01","wf-customer-invoice",5682,"29.75",102,177,"24.12","2.05","9.35","1805.17","0.55","2716.21"
"logic-fastweightsys-prod-eu2-01","wf-purchase-order",5506,"2.57",6,117,"3.15","2.42","5.81","12.81","1.17","393.41"
"logic-blobenginecoresys-prod-eu2-01","wf-Sender-BlobEngineToREST-V2",5321,"58.47",267,334,"29.9","13.45","96.66","115.4","2.39","131.6"
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-data-frd",5287,"2.39",3,4,"10.26","7.92","17.04","60.58","4.87","559.22"
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-data-pol",5240,"2.37",3,4,"9.22","7.34","13.78","48.53","4.69","251.53"
"logic-sfb-prod-eu2-01","wf-Solace2AIS-OrderHeader",3588,"1.92",4,12,"3.12","2.53","4.92","9.5","1.17","231.44"
"logic-klaviyosnck1mmssys-prod-eu2-01","wf-link-notification",2629,"3.98",12,27,"5.89","3.49","6.47","11.8","1.46","3615.84"
"logic-fastweightsys-prod-eu2-01","wf-sourcing-delivery",2468,"1.54",4,15,"3.66","2.94","5.39","14.85","1.13","441.05"
"logic-sfb-prod-eu2-01","wf-AIS2Salesforce-CreditMemo",2370,"5.27",13,346,"3.12","2.64","4.89","13.1","0.96","152.07"
"logic-trextranssys-prod-eu2-01","wf-AccrualObject-TrexUS",2245,"10.59",45,105,"3.85","3.09","7.91","15.68","1.25","232.49"
"logic-cgcloudtranssys-prod-eu2-01","wf-AccrualUpdateResult-CGCloud",2131,"10.05",42,116,"2.42","1.98","5.05","8.62","1.05","25.73"
"logic-alssys-prod-eu2-01","wf-lab-request",2085,"20.44",46,68,"45.17","13.67","102.57","115.95","1.53","145.91"
"logic-sfmcconsentrcv-prod-eu2-01","wf-DebatchedMsg",2056,"19.21",89,147,"2.04","1.78",3,"4.87",1,"123.84"
"logic-thgsys-prod-eu2-01","wf-AuthTkn",2032,"1.44",3,8,"1.56","1.33","2.8","7.88","0.48","30.35"
"logic-sfmcconsentsys-prod-eu2-01","wf-sfmctoonetrustTransform",1997,"2.23",8,49,"29.15","7.05","147.37","204.72","1.85","356.2"
"logic-blobenginecoresys-prod-eu2-01","wf-Receiver-BlobEngine",1870,"2.89",3,3,"9.03","8.1","17.69","36.9","1.18","89.54"
"logic-1nvpetcpollprc-prod-eu2-01","wf-1nav-solace-trxcnfg-polling",1857,1,1,1,"12.2","9.21","20.68","57.75","6.01","1299.19"
"logic-edicomsys-prod-eu2-01","wf-oauth-token-generation",1578,"1.8",4,34,"3.05","2.62","5.05","10.1","1.42","143.19"
"logic-edicomsys-prod-eu2-01","wf-edicomSys-icbsalesinvoice",1559,"1.78",4,32,"6.96","5.79","11.74","22.67","2.75","240.8"
"logic-sfscconsentsys-prod-eu2-01","wf-sfsctoonetrustTransform",1443,"1.2",2,15,"13.05","3.15","9.75","357.66","1.39","796.41"
"logic-sscsys-prod-eu2-01","wf-fetchOAuth-SFSC",1406,"1.03",1,3,"1.44","1.26","2.88","6.15","0.57","12.61"
"logic-sfmarspulsesys-prod-eu2-01","wf-sfmarspulse-http-oauth",1387,"1.15",2,4,"2.07","1.77","2.91","9.39",1,"88.21"
"logic-sscsys-prod-eu2-01","wf-sendMDHRequestToSalesforce",1379,"1.03",1,2,"10.51","8.58","24.87","35.78","0.67","143.61"
"logic-trextranssys-prod-eu2-01","wf-oauth-BTP_Token_generation",1344,"29.87",154,160,"1.22","1.07","2.08","3.95","0.54","10.32"
"logic-trextranssys-prod-eu2-01","wf-ProductClassification-Send",1323,"4.56",8,144,"4.54","2.98","9.13","22.09","1.23","250.45"
"logic-trextranssys-prod-eu2-01","wf-AccrualPosting-TrexUS",1310,"29.11",147,163,"4.91","4.06","9.26","11.02","1.9","16.86"
